1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,target,n
90,31,68,74,89,10,48,98,14,51,20,49,67,56,68,87,29,65,98,10,34.79904583,20
62,65,44,65,91,82,24,36,1,74,21,53,72,77,93,11,40,10,97,10,33.97118286,20
10,84,4,67,65,41,18,93,95,15,12,24,44,14,77,86,80,99,66,42,27.68786201,20
77,57,64,81,68,10,95,34,48,59,44,15,4,69,72,3,95,74,50,6,34.94005143,20
45,93,6,25,45,30,54,63,5,10,87,57,90,7,14,31,6,91,66,11,33.88539639,20
51,51,82,33,9,41,40,90,80,28,23,18,9,60,63,74,55,69,29,90,28.93189722,20
73,80,97,36,4,8,63,90,77,89,64,46,24,48,96,18,15,71,32,4,33.09151591,20
97,59,59,10,82,20,23,51,76,60,44,17,98,17,84,10,26,15,51,19,25.9231789,20
14,41,45,19,68,9,49,3,61,35,92,2,6,92,77,86,29,84,33,18,27.8492012,20
48,9,86,68,54,50,68,88,19,76,90,4,89,66,23,6,24,38,17,47,29.80518295,20
33,26,6,99,12,76,89,46,73,49,69,78,18,96,10,34,90,80,88,90,26.54979592,20
69,7,36,9,65,89,18,46,82,80,30,37,79,46,91,43,65,71,18,23,31.39608742,20
100,74,26,22,72,4,19,88,69,5,49,6,12,15,85,95,26,48,68,52,25.74167525,20
36,76,59,58,59,96,97,6,15,78,29,32,46,57,86,93,4,59,63,28,34.61773203,20
10,90,56,71,16,30,31,49,81,80,21,26,9,51,25,53,52,30,94,22,31.11464128,20
45,97,34,37,10,68,3,3,84,50,87,49,73,85,6,93,100,54,56,74,31.05301726,20
49,16,24,16,29,96,93,16,99,18,100,35,74,74,21,29,42,74,26,70,20.83087166,20
60,18,88,68,85,55,90,39,23,61,71,52,68,46,55,88,11,9,10,83,35.14797642,20
10,16,41,3,18,91,21,62,94,45,94,92,14,89,24,14,45,86,7,92,29.54729762,20
68,7,52,1,95,20,50,15,19,48,95,27,21,83,76,23,24,84,98,5,32.28106056,20
28,25,48,4,26,24,90,74,9,38,13,2,18,56,74,59,76,21,42,78,33.50584115,20
41,4,36,45,50,100,84,11,75,54,53,99,84,81,47,87,10,49,72,36,33.60547538,20
96,39,91,43,58,38,62,51,93,62,13,84,23,87,36,58,11,77,29,32,28.82315293,20
71,100,4,66,1,15,25,65,14,56,46,98,88,43,90,34,16,71,70,25,24.33383899,20
96,47,96,22,40,27,45,64,93,93,97,65,86,56,53,48,51,35,71,35,31.78505884,20
100,84,9,82,66,15,23,43,26,17,50,73,86,37,39,84,59,81,61,49,26.16964597,20
69,2,100,67,45,13,26,75,97,98,6,88,73,5,12,21,96,91,96,63,28.09128249,20
100,46,19,11,18,41,97,92,4,18,73,81,57,62,45,57,71,53,40,52,33.66009657,20
82,77,7,41,61,25,3,8,2,69,5,60,95,57,41,59,52,83,15,95,28.92636936,20
69,22,90,99,96,68,16,20,22,65,62,97,42,61,14,52,86,96,33,51,30.46975982,20
39,86,27,11,87,26,57,43,16,61,12,75,68,27,33,91,9,97,7,12,22.87347917,20
36,96,36,39,31,36,26,86,93,56,34,58,79,28,78,72,86,52,97,12,36.33580396,20
23,90,35,47,68,61,39,37,22,14,8,16,20,39,97,55,99,22,47,84,26.38949999,20
89,79,3,93,5,69,44,68,36,65,14,93,36,28,42,58,62,34,61,66,29.13201379,20
66,14,67,82,50,52,78,45,38,31,43,75,45,59,15,76,81,76,20,77,31.19826964,20
11,15,52,96,100,96,68,16,82,6,97,80,15,95,17,49,1,24,20,22,30.55346209,20
22,25,5,37,79,1,90,37,87,66,85,19,5,26,37,46,34,71,35,79,31.1533852,20
94,34,59,50,62,48,15,14,77,44,60,30,5,68,2,78,35,91,93,63,23.03640085,20
99,6,92,76,94,88,82,72,14,43,77,13,89,87,57,62,86,88,42,82,20.73911682,20
42,61,92,70,71,78,12,52,89,72,37,76,49,10,29,35,73,86,93,83,33.51286211,20
55,97,51,40,35,13,77,50,94,16,97,4,78,10,92,77,54,34,21,23,32.90449447,20
29,61,97,72,75,86,63,10,78,14,50,10,52,87,17,13,75,75,79,96,26.85431252,20
12,80,80,20,83,29,85,81,85,57,72,5,22,28,33,92,38,26,86,74,31.00775281,20
61,30,82,44,38,42,23,99,59,67,14,99,68,13,72,71,37,20,95,64,24.9830259,20
94,94,51,3,51,86,39,57,80,2,76,54,34,22,46,15,83,6,63,96,31.31256248,20
58,42,87,86,87,92,16,28,76,88,36,87,71,95,68,55,15,29,41,29,21.52665249,20
81,85,100,54,78,35,39,75,71,41,41,32,77,52,20,57,14,9,76,77,25.94581347,20
99,73,39,76,73,13,56,25,30,3,64,15,86,70,29,67,60,71,43,29,28.97781434,20
44,30,38,47,98,15,52,5,81,97,10,42,96,60,7,22,64,96,47,65,30.47703449,20
39,46,76,45,60,30,21,90,69,70,37,56,69,26,51,98,59,7,62,6,35.97197572,20
77,54,35,73,28,41,82,90,15,23,79,58,58,42,14,38,17,54,16,38,27.17595348,20
65,66,26,19,72,5,7,52,63,39,27,43,97,78,39,76,70,82,76,39,27.49431937,20
82,68,74,74,36,53,50,55,24,98,42,3,99,22,75,9,50,10,66,99,30.03803078,20
52,99,73,5,68,71,74,15,50,55,73,40,86,17,34,37,43,57,27,10,26.45297672,20
67,97,62,96,6,58,20,10,98,87,44,51,19,78,11,68,3,1,70,82,27.89882534,20
81,11,79,1,13,8,62,79,11,77,52,72,1,100,46,14,78,75,89,73,34.31634499,20
47,99,88,38,84,44,23,5,75,36,3,98,79,23,53,66,53,33,64,21,28.76849101,20
84,9,8,59,16,8,69,29,71,55,36,35,60,88,90,8,50,15,80,6,27.83607629,20
92,79,81,49,26,35,11,63,96,37,54,88,40,54,8,61,84,55,38,31,34.18331505,20
69,6,15,64,9,45,11,8,52,26,63,46,5,48,90,71,32,35,86,60,22.79400608,20
68,70,86,46,44,51,28,14,86,50,32,1,94,34,65,88,97,91,6,40,29.14162883,20
11,58,82,61,63,60,76,18,58,9,43,3,90,13,48,45,100,92,65,62,31.70250701,20
91,20,14,47,72,79,47,57,18,95,93,66,49,5,14,93,60,33,53,10,29.8190052,20
93,73,82,67,98,2,8,47,69,100,71,81,51,88,35,85,5,87,80,7,30.26040018,20
99,24,6,53,90,45,30,34,7,35,50,17,53,3,100,9,45,88,48,94,25.92374283,20
27,65,60,18,85,54,49,22,40,78,33,90,80,55,100,8,21,89,62,82,29.1659345,20
30,70,13,32,34,66,30,60,91,89,90,76,78,71,77,26,86,85,40,17,27.07272085,20
79,55,10,26,49,80,65,94,68,40,36,6,79,9,4,41,33,96,36,62,31.09917819,20
92,33,47,40,41,68,72,27,27,68,43,94,82,22,99,37,100,97,8,69,32.31356812,20
